0:0:0:0:0:0:0:1 - - [16/Nov/2019:12:57:58 +0530] "GET /empwebapp/servlet/com.ustglobal.empwebapp.servlets.LoginPageServlets HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [16/Nov/2019:12:58:18 +0530] "GET /empwebapp/login.html HTTP/1.1" 500 4201
0:0:0:0:0:0:0:1 - - [16/Nov/2019:12:58:35 +0530] "GET /empwebapp/login HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [16/Nov/2019:12:58:45 +0530] "GET /empwebapp/login HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [16/Nov/2019:12:58:57 +0530] "GET /empwebapp/Login HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [16/Nov/2019:12:58:58 +0530] "GET /empwebapp/Login HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [16/Nov/2019:12:59:17 +0530] "GET /empwebapp/login.html HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [16/Nov/2019:13:00:10 +0530] "GET /empwebapp/servlet/com.ustglobal.empwebapp.servlets.LoginPageServlets HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [16/Nov/2019:13:00:24 +0530] "GET /empwebapp/login.html HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [16/Nov/2019:13:00:25 +0530] "GET /empwebapp/login.html HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [16/Nov/2019:13:00:25 +0530] "GET /empwebapp/login.html HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [16/Nov/2019:13:00:25 +0530] "GET /empwebapp/login.html HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [16/Nov/2019:13:00:25 +0530] "GET /empwebapp/login.html HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [16/Nov/2019:13:00:26 +0530] "GET /empwebapp/login.html HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [16/Nov/2019:13:00:26 +0530] "GET /empwebapp/login.html HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [16/Nov/2019:13:00:26 +0530] "GET /empwebapp/login.html HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [16/Nov/2019:13:00:26 +0530] "GET /empwebapp/login.html HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [16/Nov/2019:13:00:26 +0530] "GET /empwebapp/login.html HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [16/Nov/2019:13:02:57 +0530] "POST /empwebapp/login HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [16/Nov/2019:13:03:07 +0530] "POST /empwebapp/login HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [16/Nov/2019:17:17:01 +0530] "GET /webapp/formemp.html HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [16/Nov/2019:17:20:38 +0530] "POST /empwebapp/login HTTP/1.1" 404 1093
127.0.0.1 - - [16/Nov/2019:17:23:11 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [16/Nov/2019:17:23:12 +0530] "GET /empwebapp/servlet/com.ustglobal.empwebapp.servlets.LoginPageServlets HTTP/1.1" 404 1150
0:0:0:0:0:0:0:1 - - [16/Nov/2019:17:23:27 +0530] "GET /employeeapp HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [16/Nov/2019:17:23:35 +0530] "GET /employeeapp HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [16/Nov/2019:17:23:35 +0530] "GET /employeeapp HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [16/Nov/2019:17:23:36 +0530] "GET /employeeapp HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [16/Nov/2019:17:23:41 +0530] "GET /employeeapp/login HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [16/Nov/2019:17:23:42 +0530] "GET /employeeapp/login HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [16/Nov/2019:17:23:48 +0530] "GET /employeeapp/logout HTTP/1.1" 404 1096
0:0:0:0:0:0:0:1 - - [16/Nov/2019:17:23:49 +0530] "GET /employeeapp/logout HTTP/1.1" 404 1096
127.0.0.1 - - [16/Nov/2019:17:25:44 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [16/Nov/2019:17:25:45 +0530] "GET /employeeapp/login.html HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [16/Nov/2019:17:25:51 +0530] "GET /employeeapp/register.html HTTP/1.1" 200 844
0:0:0:0:0:0:0:1 - - [16/Nov/2019:17:26:32 +0530] "POST /employeeapp/register HTTP/1.1" 200 46
0:0:0:0:0:0:0:1 - - [16/Nov/2019:17:26:59 +0530] "POST /employeeapp/login HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [16/Nov/2019:17:27:13 +0530] "POST /employeeapp/login HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [16/Nov/2019:17:27:16 +0530] "GET /employeeapp/search.html HTTP/1.1" 200 546
0:0:0:0:0:0:0:1 - - [16/Nov/2019:17:27:19 +0530] "GET /employeeapp/search?id=1 HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [16/Nov/2019:17:27:23 +0530] "GET /employeeapp/login.html HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [16/Nov/2019:17:27:52 +0530] "POST /employeeapp/login HTTP/1.1" 200 139
